"id","english","vietnamese","note","module","boi_canh","vi_du"
"533","healthcare clearinghouse","trung tâm xử lý dữ liệu y tế","tổ chức trung gian xử lý, chuẩn hóa và truyền tải dữ liệu y tế/bảo hiểm","2","Là một mục tiêu tấn công giá trị cao vì đây là nơi trung gian xử lý và tổng hợp dữ liệu y tế từ nhiều nguồn. Pentester kiểm tra các hệ thống này để tìm lỗ hổng có thể dẫn đến rò rỉ dữ liệu (data breach) quy mô lớn.","Một trung t&acirc;m xử l&yacute; dữ liệu y tế (healthcare clearinghouse) đã nhận dữ liệu kh&aacute;m bệnh từ ph&ograve;ng kh&aacute;m, chuẩn hóa n&oacute; theo định dạng chuẩn, v&agrave; gửi cho c&ocirc;ng ty bảo hiểm để thanh to&aacute;n."
"534","business associates","đối tác kinh doanh","cá nhân hoặc tổ chức có quyền truy cập dữ liệu nhạy cảm, ví dụ dữ liệu y tế, khi làm việc cùng nhà cung cấp dịch vụ chính","2","Là các nhà thầu phụ (ví dụ: công ty luật, dịch vụ IT) có quyền truy cập dữ liệu y tế (PHI). Pentester xem đây là một vector tấn công "chuỗi cung ứng" (supply chain) để xâm nhập vào mục tiêu chính hoặc đánh cắp dữ liệu.","C&ocirc;ng ty luật l&agrave;m việc cho bệnh viện được coi l&agrave; đối t&aacute;c kinh doanh (business associate) v&igrave; họ c&oacute; quyền truy cập v&agrave;o dữ liệu y tế của bệnh nh&acirc;n để xử l&yacute; c&aacute;c vụ kiện."
"535","PAN (primary account number)","số tài khoản chính (PAN)","dãy số trên thẻ thanh toán, thường 14–19 chữ số","2","Là "viên ngọc quý" (crown jewel) trong một cuộc pentest PCI DSS. Toàn bộ mục tiêu của pentester là chứng minh rằng số tài khoản chính (PAN) không bị lưu trữ dưới dạng văn bản rõ (clear text) và không thể bị truy cập trái phép.","Quy định PCI DSS yêu cầu c&aacute;c doanh nghiệp phải m&atilde; hóa số t&agrave;i khoản ch&iacute;nh (PAN) khi lưu trữ để ngăn chặn h&agrave;nh vi trộm cắp thẻ."
"536","PCI Forensic Investigator (PFI)","điều tra viên pháp y PCI (PFI)","chuyên gia được PCI chứng nhận để điều tra sự cố vi phạm dữ liệu thẻ","2","Đây là đội điều tra được gọi đến sau khi một vụ vi phạm (breach) dữ liệu thẻ đã xảy ra. Công việc của pentester là tìm ra lỗ hổng trước, để công ty không bao giờ phải tốn tiền thuê PFI.","Sau khi ph&aacute;t hiện bị tấn c&ocirc;ng v&agrave; mất dữ liệu thẻ, ng&acirc;n h&agrave;ng đã lập tức thuê một điều tra vi&ecirc;n ph&aacute;p y PCI (PFI) để điều tra v&agrave; x&aacute;c định quy m&ocirc; của vụ vi phạm."
"537","Quality Security Assessor (QSA)","đánh giá viên bảo mật PCI (QSA)","chuyên gia/công ty được PCI chứng nhận để đánh giá tuân thủ PCI DSS","2","Là "kiểm toán viên" (auditor) chính thức của PCI. Pentester (người thực hiện kiểm thử xâm nhập) sẽ cung cấp báo cáo của mình cho QSA để làm bằng chứng cho Yêu cầu 11.3 (Requirement 11.3) của tiêu chuẩn PCI DSS.","H&agrave;ng năm, một đ&aacute;nh gi&aacute; vi&ecirc;n bảo mật PCI (QSA) sẽ đến c&ocirc;ng ty chúng t&ocirc;i để kiểm toán to&agrave;n bộ hệ thống, nhằm x&aacute;c nhận chúng t&ocirc;i tu&acirc;n thủ PCI DSS."
"538","rules of engagement","quy tắc tham gia","tài liệu xác định phạm vi, phương pháp, giới hạn và điều kiện cho một cuộc pentest hoặc red team engagement","2","Là tài liệu "luật chơi" quan trọng nhất của cuộc pentest. Nó định nghĩa rõ pentester được phép tấn công (in-scope) cái gì, không được tấn công (out-of-scope) cái gì, và các hành động bị cấm (ví dụ: DDoS).","Quy tắc tham gia (rules of engagement) của cuộc pentest ghi rõ r&agrave;ng đội tấn c&ocirc;ng kh&ocirc;ng được phép thực hiện tấn c&ocirc;ng Từ chối Dịch vụ (DDoS) lên m&aacute;y chủ sản phẩm."
"539","Simple Object Access Protocol (SOAP)","giao thức truy cập đối tượng đơn giản (SOAP)","chuẩn giao tiếp dựa trên XML, dùng để trao đổi dữ liệu giữa các ứng dụng qua HTTP/HTTPS","2","Là một giao thức API (web service) cũ dựa trên XML. Đối với pentester, đây là một mục tiêu thường dễ bị tổn thương bởi các cuộc tấn công đặc thù như "XML External Entity" (XXE) hoặc các lỗi phân tích cú pháp XML phức tạp.","API cũ của ng&acirc;n h&agrave;ng vẫn đang sử dụng Simple Object Access Protocol (SOAP), một giao thức hoạt động dựa trên c&aacute;c th&ocirc;ng điệp XML phức tạp."
"540","Web Services Description Language (WSDL)","ngôn ngữ mô tả dịch vụ web (WSDL)","tài liệu XML mô tả chi tiết các dịch vụ web SOAP: endpoint, phương thức, dữ liệu","2","Là tệp "bản đồ" mô tả dịch vụ SOAP. Pentester luôn tìm kiếm tệp WSDL (thường ở cuối URL với ?wsdl) vì nó tiết lộ tất cả các hàm (functions) và tham số (parameters) mà API cung cấp, giúp việc tấn công dễ dàng hơn.","Lập tr&igrave;nh vi&ecirc;n đã đọc tệp Web Services Description Language (WSDL) để hiểu rõ c&aacute;c h&agrave;m (functions) v&agrave; cấu tr&uacute;c dữ liệu m&agrave; dịch vụ web SOAP đ&oacute; cung cấp."
"541","GraphQL","GraphQL","ngôn ngữ truy vấn API do Facebook phát triển, cho phép client lấy đúng dữ liệu cần thiết từ server","2","Là một công nghệ API hiện đại. Đối với pentester, đây là một bề mặt tấn công mới, dễ bị tổn thương bởi các truy vấn "Introspection" (cho phép kẻ tấn công tự khám phá toàn bộ schema) hoặc các truy vấn lạm dụng logic nghiệp vụ.","Đội ph&aacute;t triển ứng dụng di động th&iacute;ch sử dụng GraphQL v&igrave; nó cho ph&eacute;p họ truy vấn ch&iacute;nh x&aacute;c những dữ liệu cần thiết trong một lần gọi API, thay v&igrave; phải gọi nhiều endpoint REST kh&aacute;c nhau."
"542","Web Application Description Language (WADL)","ngôn ngữ mô tả ứng dụng web (WADL)","tài liệu XML mô tả dịch vụ web RESTful","2","Tương tự như WSDL nhưng dành cho API RESTful. Pentester tìm tệp WADL để tự động lập bản đồ (enumerate) tất cả các điểm cuối (endpoints) và phương thức (methods) mà API REST cung cấp.","Pentester đã phân tích tệp Web Application Description Language (WADL) để lập bản đồ c&aacute;c điểm cuối (endpoints) v&agrave; phương thức (methods) của dịch vụ RESTful trước khi bắt đầu tấn c&ocirc;ng."
"543","Software Development Kit (SDK)","bộ công cụ phát triển phần mềm (SDK)","tập hợp thư viện, API, tài liệu và công cụ hỗ trợ lập trình ứng dụng","2","Là một mục tiêu trinh sát (reconnaissance) quan trọng, đặc biệt khi pentest ứng dụng di động. Pentester sẽ dịch ngược (reverse-engineer) SDK để tìm các khóa API (API keys) hoặc các endpoint bị nhúng cứng (hard-coded) bên trong.","Facebook cung cấp một bộ công cụ ph&aacute;t triển phần mềm (SDK) cho phép c&aacute;c lập tr&igrave;nh vi&ecirc;n dễ d&agrave;ng t&iacute;ch hợp t&iacute;nh năng "Đăng nhập bằng Facebook" v&agrave;o ứng dụng của họ."
"544","fully qualified domain names (FQDNs)","tên miền đủ điều kiện (FQDN)","địa chỉ DNS đầy đủ gồm hostname + domain, ví dụ: www.example.com","2","Là các mục tiêu chính trong giai đoạn trinh sát (recon). Pentester cố gắng liệt kê (enumerate) càng nhiều FQDNs (như dev.congty.com, vpn.congty.com) càng tốt để mở rộng bề mặt tấn công (attack surface).","Để trỏ CNAME cho một t&ecirc;n miền phụ, bạn cần sử dụng t&ecirc;n miền đủ điều kiện (FQDNs), ví dụ như blog.congty.com, chứ kh&ocirc;ng chỉ l&agrave; blog."
"545","scope creep","sự mở rộng phạm vi","tình huống phạm vi dự án/pentest bị mở rộng ngoài thỏa thuận ban đầu, gây rủi ro tiến độ và chi phí","2","Là một rủi ro pháp lý và quản lý dự án cho pentester. Đây là tình huống khi khách hàng yêu cầu kiểm tra một IP hoặc ứng dụng nằm ngoài tài liệu "Quy tắc tham gia" (RoE), buộc pentester phải dừng lại và yêu cầu cập nhật hợp đồng.","Kh&aacute;ch h&agrave;ng li&ecirc;n tục yêu cầu "kiểm tra nhanh" c&aacute;c m&aacute;y chủ kh&ocirc;ng c&oacute; trong hợp đồng, đ&acirc;y l&agrave; một v&iacute; dụ điển h&igrave;nh về sự mở rộng phạm vi (scope creep) c&oacute; thể l&agrave;m chậm tiến độ dự &aacute;n."
"546","request for proposal (RFP)","yêu cầu đề xuất (RFP)","tài liệu mời thầu, mô tả nhu cầu và yêu cầu dịch vụ để nhà thầu gửi giải pháp","2","Là tài liệu "mời thầu". Đây là văn bản mà khách hàng gửi đi để mời các công ty bảo mật (nhà thầu) nộp hồ sơ, đề xuất phương án và chi phí cho một dự án pentest.","C&ocirc;ng ty đ&atilde; gửi một y&ecirc;u cầu đề xuất (RFP) chi tiết đến nhiều nh&agrave; cung cấp dịch vụ an ninh mạng để mời họ nộp hồ sơ thầu cho dự &aacute;n pentest hệ thống."
"547","information security manager (ISM)","quản lý an ninh thông tin (ISM)","người chịu trách nhiệm vận hành chương trình an ninh thông tin trong tổ chức","2","Thường là người liên hệ kỹ thuật chính (technical point of contact) của pentester tại công ty khách hàng. ISM là người điều phối cuộc kiểm thử, tiếp nhận báo cáo kỹ thuật và giám sát quá trình vá lỗi.","Quản l&yacute; an ninh th&ocirc;ng tin (ISM) chịu tr&aacute;ch nhiệm đảm bảo rằng c&aacute;c bản v&aacute; (patches) bảo mật được c&agrave;i đặt kịp thời cho tất cả c&aacute;c m&aacute;y chủ của c&ocirc;ng ty."
"548","chief information security officer (CISO)","giám đốc an ninh thông tin (CISO)","lãnh đạo cấp cao phụ trách chiến lược và chính sách an ninh mạng của tổ chức","2","Là lãnh đạo cấp cao, người chịu trách nhiệm về chiến lược và ngân sách bảo mật. CISO là người đọc phần "Tóm tắt Lãnh đạo" (Executive Summary) trong báo cáo pentest để hiểu rủi ro kinh doanh và ra quyết định.","Gi&aacute;m đốc an ninh th&ocirc;ng tin (CISO) đã tr&igrave;nh b&agrave;y trước ban gi&aacute;m đốc về chiến lược an ninh mạng 5 năm v&agrave; đề xuất ng&acirc;n s&aacute;ch cho c&aacute;c c&ocirc;ng cụ bảo mật mới."
"549","chief information officer (CIO)","giám đốc công nghệ thông tin (CIO)","lãnh đạo cấp cao phụ trách chiến lược CNTT tổng thể trong tổ chức","2","Là lãnh đạo phụ trách toàn bộ CNTT (vận hành, hạ tầng). Kết quả của pentester (ví dụ: "cần vá 100 máy chủ") sẽ ảnh hưởng trực tiếp đến kế hoạch và ngân sách vận hành của CIO.","Gi&aacute;m đốc c&ocirc;ng nghệ th&ocirc;ng tin (CIO) chịu tr&aacute;ch nhiệm về to&agrave;n bộ hệ thống CNTT của c&ocirc;ng ty, bao gồm cả phần mềm nghiệp vụ, hạ tầng mạng v&agrave; hỗ trợ người dùng."
"550","chief technical officer (CTO)","giám đốc kỹ thuật (CTO)","lãnh đạo cấp cao phụ trách công nghệ, nghiên cứu và phát triển sản phẩm","2","Là lãnh đạo phụ trách phát triển sản phẩm/công nghệ. Khi pentester tìm thấy lỗ hổng trong mã nguồn (source code), đội ngũ lập trình của CTO là người chịu trách nhiệm sửa (fix) các lỗi đó.","Gi&aacute;m đốc kỹ thuật (CTO) của c&ocirc;ng ty khởi nghiệp đ&oacute; tập trung vào việc nghiên cứu c&ocirc;ng nghệ AI mới để t&iacute;ch hợp vào sản phẩm, giúp nó vượt l&ecirc;n tr&ecirc;n đối thủ cạnh tranh."
"551","Return on Investment (ROI)","lợi tức đầu tư (ROI)","chỉ số đo lường hiệu quả lợi nhuận so với chi phí đầu tư","2","Là chỉ số mà CISO dùng để biện minh cho chi phí của một cuộc pentest. ROI được thể hiện bằng cách chỉ ra rằng "chi phí pentest (ví dụ: 500 triệu VNĐ) rẻ hơn nhiều so với chi phí của một vụ vi phạm (ví dụ: 10 tỷ VNĐ)".","Việc đầu tư vào hệ thống tường lửa mới đ&atilde; mang lại lợi tức đầu tư (ROI) cao, v&igrave; nó gi&uacute;p c&ocirc;ng ty tiết kiệm được h&agrave;ng tỷ đồng chi ph&iacute; khắc phục sự cố sau một cuộc tấn c&ocirc;ng ransomware."
"552","Unknown-Environment Testing (black-box)","kiểm thử hộp đen","pentester không biết thông tin hệ thống, mô phỏng attacker bên ngoài","2","Là một kịch bản pentest. Pentester bắt đầu với con số 0 (hoặc chỉ một tên miền/IP), mô phỏng chính xác một hacker bên ngoài (external attacker) và phải tự mình thực hiện mọi bước từ trinh sát (recon) đến khai thác.","Trong bài kiểm thử hộp đen (Unknown-Environment Testing), đội pentest kh&ocirc;ng được cung cấp bất kỳ th&ocirc;ng tin g&igrave; ngo&agrave;i t&ecirc;n miền của c&ocirc;ng ty."
"553","Known-Environment Testing (white-box)","kiểm thử hộp trắng","pentester được cung cấp đầy đủ thông tin như code, cấu hình, tài liệu để đánh giá chi tiết","2","Là một kịch bản pentest hiệu quả nhất để tìm lỗi sâu. Pentester được cung cấp "chìa khóa" (như mã nguồn, tài liệu kiến trúc, tài khoản admin), cho phép họ phân tích logic ứng dụng và cấu hình hệ thống một cách chi tiết.","Nhờ c&oacute; bài kiểm thử hộp trắng (Known-Environment Testing) v&agrave; quyền truy cập vào m&atilde; nguồn, chuyên gia bảo mật đ&atilde; ph&aacute;t hiện ra một lỗ hổng logic nghiệp vụ phức tạp m&agrave; kh&ocirc;ng thể t&igrave;m thấy bằng phương ph&aacute;p hộp đen."
"554","Risk tolerance","mức chịu đựng rủi ro","khả năng chấp nhận rủi ro của tổ chức/cá nhân trước khi cần hành động kiểm soát","2","Là "khẩu vị" hay "ngưỡng" rủi ro của khách hàng. Pentester cần hiểu điều này; một tổ chức có mức chịu đựng rủi ro thấp sẽ yêu cầu vá cả những lỗ hổng "Thấp", trong khi một tổ chức có mức chịu đựng cao có thể chỉ quan tâm đến rủi ro "Nghiêm trọng".","Mức chịu đựng rủi ro (Risk tolerance) của c&ocirc;ng ty khởi nghiệp n&agrave;y rất cao; họ sẵn s&agrave;ng ra mắt sản phẩm m&agrave; kh&ocirc;ng cần v&aacute; c&aacute;c lỗ hổng bảo mật mức độ thấp để kịp tiến độ."
"555","Risk management","quản lý rủi ro","quá trình nhận diện, đánh giá và xử lý rủi ro để giảm thiểu tác động tiêu cực","2","Là quy trình tổng thể mà báo cáo pentest là một phần đầu vào. Kết quả quản lý rủi ro là quyết định của lãnh đạo (ví dụ: Chấp nhận, Giảm thiểu) dựa trên báo cáo kỹ thuật (Risk Assessment) mà pentester cung cấp.","Quy tr&igrave;nh quản l&yacute; rủi ro (Risk management) của chúng t&ocirc;i yêu cầu phải qu&eacute;t lỗ hổng h&agrave;ng quý v&agrave; b&aacute;o c&aacute;o c&aacute;c rủi ro nghi&ecirc;m trọng trực tiếp cho CISO."
"556","Risk-taking","chủ động chấp nhận rủi ro","hành động hoặc quyết định chủ động đối mặt rủi ro để đạt được mục tiêu/lợi ích","2","Là một quyết định kinh doanh chủ động. Ví dụ, một công ty chấp nhận rủi ro (risk-taking) khi quyết định chạy một hệ thống cũ không còn được hỗ trợ (out-of-support) để tiết kiệm chi phí, bất chấp cảnh báo từ pentester.","Việc c&ocirc;ng ty quyết định đưa m&aacute;y chủ "staging" ra ngo&agrave;i Internet m&agrave; kh&ocirc;ng c&oacute; tường lửa l&agrave; một h&agrave;nh động chấp nhận rủi ro (Risk-taking) nguy hiểm để đẩy nhanh tiến độ kiểm thử."
"557","Risk acceptance","thụ động chấp nhận rủi ro","quyết định không áp dụng biện pháp kiểm soát mà chấp nhận hậu quả tiềm tàng","2","Là một kết quả cụ thể của quản lý rủi ro. Sau khi pentester báo cáo lỗ hổng, khách hàng có thể quyết định chấp nhận rủi ro (risk acceptance) đó (thường là rủi ro Thấp/Trung bình) và không vá lỗi, vì chi phí vá lỗi cao hơn tác động tiềm tàng.","Sau khi ph&acirc;n t&iacute;ch, ban gi&aacute;m đốc quyết định chấp nhận rủi ro (Risk acceptance) đối với lỗ hổng "Tự động hoàn thành mật khẩu" (Password autocomplete) v&igrave; chi ph&iacute; sửa chữa cao hơn tác động tiềm ẩn của n&oacute;."
"558","Risk mitigation","giảm thiểu rủi ro","áp dụng biện pháp để giảm khả năng hoặc tác động của rủi ro","2","Đây là hành động "vá lỗi" (remediation). Khi pentester báo cáo một lỗ hổng, và khách hàng cài đặt bản vá (patch) hoặc áp dụng cấu hình tường lửa mới, đó chính là họ đang thực hiện giảm thiểu rủi ro.","Để giảm thiểu rủi ro (Risk mitigation) bị tấn c&ocirc;ng ransomware, c&ocirc;ng ty đ&atilde; triển khai hệ thống xác thực đa yếu tố (MFA) cho tất cả nh&acirc;n vi&ecirc;n."
"559","Risk assessment","đánh giá rủi ro","quá trình phân tích mối đe dọa, điểm yếu và xác suất để xác định mức độ rủi ro","2","Đây là công việc cốt lõi của pentester. Đánh giá rủi ro không chỉ là tìm lỗ hổng (vulnerability), mà là quá trình phân tích (Khả năng x Tác động) để xác định mức độ nghiêm trọng (ví dụ: Critical, High) của lỗ hổng đó đối với doanh nghiệp.","Một bài đ&aacute;nh gi&aacute; rủi ro (Risk assessment) đã x&aacute;c định rằng lỗ hổng SQL Injection trên m&aacute;y chủ thanh to&aacute;n là rủi ro "Cực kỳ nghi&ecirc;m trọng" (Critical) do n&oacute; c&oacute; thể l&agrave;m lộ dữ liệu thẻ t&iacute;n dụng."
"560","Host enumeration","liệt kê máy chủ","quá trình xác định các thiết bị/máy tính đang hoạt động trong mạng","3","Là bước trinh sát chủ động (active recon) đầu tiên. Pentester dùng nó (ví dụ: nmap -sn) để "ping" một dải mạng, nhằm xác định IP/host nào đang "sống" (live) và đâu là mục tiêu thực sự.","Pentester đã sử dụng Nmap để thực hiện Host enumeration (quét ping) toàn bộ dải mạng 192.168.1.0/24, nhằm xác định những máy chủ nào đang "sống" (live)."
"561","Network enumeration","liệt kê mạng","thu thập thông tin chi tiết về kiến trúc, thiết bị và tài nguyên mạng","3","Là bước trinh sát sâu hơn sau "Host enumeration". Pentester dùng nó để lập bản đồ kiến trúc, tìm các router, firewall, và các dải mạng con (subnets), nhằm hiểu rõ "địa hình" trước khi tấn công.","Bằng cách sử dụng traceroute và các truy vấn SNMP, kẻ tấn công đã thực hiện Network enumeration để vẽ ra sơ đồ kiến trúc mạng của công ty."
"562","User enumeration","liệt kê người dùng","kỹ thuật xác định danh sách tài khoản người dùng hợp lệ trong hệ thống","3","Là một kỹ thuật tấn công quan trọng. Attacker dùng nó để tìm ra các tên người dùng (username) hợp lệ (ví dụ: qua lỗi trên trang đăng nhập, hoặc qua SMTP) để chuẩn bị cho một cuộc tấn công "dò mật khẩu" (password spraying) hoặc brute-force.","Hacker đã sử dụng kỹ thuật User enumeration trên cổng SMTP (lệnh VRFY) để lấy được danh sách địa chỉ email của toàn bộ nhân viên trong công ty."
"563","Group enumeration","liệt kê nhóm","xác định các nhóm người dùng và quyền hạn liên quan trong hệ thống","3","Là một hành động "sau khai thác" (post-exploitation). Sau khi đã vào được một máy, attacker dùng nó (ví dụ: net group) để xem các tài khoản thuộc nhóm quyền nào, đặc biệt là nhóm 'Domain Admins' (Quản trị viên Miền) để leo thang đặc quyền.","Sau khi xâm nhập được vào một máy chủ, kẻ tấn công thực hiện Group enumeration bằng lệnh net localgroup để xem người dùng hiện tại thuộc những nhóm quyền nào, đặc biệt là nhóm "Administrators"."
"564","Network share enumeration","liệt kê chia sẻ mạng","tìm kiếm các thư mục hoặc tài nguyên được chia sẻ qua mạng","3","Là một kỹ thuật trinh sát nội bộ (internal recon) then chốt. Attacker dùng nó để quét các ổ đĩa/thư mục SMB/NFS được chia sẻ trong mạng, tìm kiếm các thư mục bị cấu hình 'public' chứa dữ liệu nhạy cảm (như file mật khẩu, backup).","Sử dụng công cụ smbclient, pentester đã thực hiện Network share enumeration và phát hiện ra một ổ đĩa chia sẻ tên "KeToan" bị mở "public" cho mọi người."
"565","Web page enumeration","liệt kê trang web","thu thập danh sách các trang, thư mục, endpoint trong một ứng dụng web","3","Là kỹ thuật "brute-force" (dò) các trang web. Attacker dùng các công cụ (như Dirbuster, gobuster) để "đoán" các đường dẫn (/admin, /backup.zip) và tệp tin bị ẩn mà không được liên kết (link) trên trang chủ.","Bằng cách chạy Dirbuster, pentester thực hiện Web page enumeration (còn gọi là "directory brute-force") và tìm thấy một trang /admin_backup.php bị ẩn, không có liên kết trên trang chủ."
"566","Application enumeration","liệt kê ứng dụng","xác định các ứng dụng đang chạy trên hệ thống hoặc trong mạng","3","Là quá trình xác định phần mềm cụ thể (và phiên bản) đang chạy trên mục tiêu. Đây là bước quan trọng để pentester tìm "exploit" (mã khai thác) tương ứng cho phiên bản đó (ví dụ: phát hiện Java 8 cũ, JBoss 4.x...).","Quá trình Application enumeration trên máy chủ cho thấy nó đang chạy một phiên bản Java 8 cũ, vốn rất nhạy cảm với các lỗ hổng thực thi mã từ xa."
"567","Service enumeration","liệt kê dịch vụ","thu thập thông tin về dịch vụ — phiên bản, cấu hình — đang chạy trên port mở","3","Là mục đích chính của việc quét cổng (port scan). Pentester không chỉ muốn biết cổng nào "mở", mà quan trọng hơn là phiên bản (version) dịch vụ nào đang chạy trên đó (ví dụ: vsftpd 2.3.4, OpenSSH 7.2), từ đó tìm ra lỗ hổng đã biết (known vulnerability).","Lệnh nmap -sV được dùng cho Service enumeration, giúp phát hiện cổng 21 đang chạy vsftpd 2.3.4 (một phiên bản có lỗ hổng backdoor nổi tiếng)."
"568","Passive reconnaissance","trinh sát thụ động","thu thập thông tin mục tiêu mà không tương tác trực tiếp, ví dụ OSINT, public records","3","Là giai đoạn thu thập thông tin "tàng hình" (stealth). Pentester thu thập dữ liệu (như email, công nghệ, tên miền phụ) từ các nguồn công khai (như Google, LinkedIn, GitHub) mà không gửi bất kỳ gói tin (packet) nào đến máy chủ mục tiêu, khiến nó không thể bị phát hiện.","Trong giai đoạn trinh sát thụ động, chuyên gia bảo mật đã phân tích các tin đăng tuyển dụng của công ty trên LinkedIn để tìm ra họ đang sử dụng công nghệ gì mà không cần gửi một gói tin nào đến máy chủ của họ."
"569","Active reconnaissance","trinh sát chủ động","thu thập thông tin bằng cách tương tác trực tiếp với mục tiêu, ví dụ quét cổng, ping","3","Là giai đoạn thu thập thông tin "ồn ào". Pentester tương tác trực tiếp với mục tiêu (ví dụ: quét cổng bằng Nmap, ping, truy vấn DNS) để lấy thông tin. Hành động này nhanh nhưng có nguy cơ bị phát hiện và ghi log (nhật ký) bởi Tường lửa (Firewall) hoặc IDS.","Việc chạy Nmap quét cổng (port scan) trực tiếp vào địa chỉ IP của máy chủ mục tiêu được coi là một hành động trinh sát chủ động vì nó tạo ra tương tác trực tiếp."
"570","Vulnerability scanning","quét lỗ hổng","dùng công cụ để phát hiện lỗ hổng bảo mật đã biết trên hệ thống hoặc ứng dụng","3","Là quá trình tự động hóa việc tìm lỗi. Pentester sử dụng các công cụ (như Nessus, Nikto) để "quét" mục tiêu và so sánh với cơ sở dữ liệu các lỗ hổng đã biết, giúp nhanh chóng tìm ra các "lỗi dễ" (low-hanging fruit) như phần mềm chưa vá lỗi.","Quá trình quét lỗ hổng (Vulnerability scanning) bằng Nessus đã tự động phát hiện ra lỗ hổng MS17-010 (EternalBlue) trên một máy chủ Windows chưa được vá lỗi."
"571","Open-source intelligence (OSINT)","tình báo nguồn mở (OSINT)","thu thập thông tin từ nguồn công khai như website, mạng xã hội, WHOIS…","3","Là phương pháp được sử dụng trong "Passive reconnaissance" (Trinh sát thụ động). Đây là nghệ thuật thu thập và phân tích thông tin (như email nhân viên, công nghệ sử dụng, mật khẩu bị rò rỉ) từ các nguồn công khai (public) trên Internet.","Sử dụng kỹ thuật tình báo nguồn mở (OSINT), nhà điều tra đã tìm thấy địa chỉ nhà của nghi phạm bằng cách phân tích dữ liệu EXIF (metadata) của một bức ảnh anh ta đăng lên mạng xã hội."
"572","Recon-ng","Recon-ng","framework OSINT trên Linux, hỗ trợ tự động hóa quá trình trinh sát thông tin mục tiêu","3","Là một framework (khung làm việc) tự động hóa OSINT. Pentester sử dụng nó (giống như Metasploit nhưng cho OSINT) để chạy các "mô-đun" (modules) nhằm tự động thu thập thông tin (email, host) từ các nguồn (Google, Shodan) và tổng hợp lại.","Pentester đã chạy module "whois_pocs" trong Recon-ng để tự động hóa việc thu thập email của các liên hệ kỹ thuật (technical contacts) từ bản ghi WHOIS của tên miền."
"573","SpiderFoot","SpiderFoot","công cụ OSINT tự động, thu thập dữ liệu từ hàng trăm nguồn như DNS, IP, web, mạng xã hội","3","Là một công cụ OSINT tự động hóa cao. Pentester chỉ cần cung cấp 1 mục tiêu (như tên miền), SpiderFoot sẽ tự động truy vấn hàng trăm nguồn dữ liệu (DNS, MX, mạng xã hội, dữ liệu rò rỉ) và vẽ ra một bản đồ quan hệ phức tạp.","Bằng cách chạy SpiderFoot, chuyên gia OSINT đã thu thập và trực quan hóa mối liên hệ giữa tên miền mục tiêu với hàng trăm dải IP, tài khoản mạng xã hội và các tệp bị rò rỉ."
"574","DNS lookup","tra cứu DNS","quá trình truy vấn để lấy thông tin bản ghi tên miền: A, MX, CNAME, TXT…","3","Là một kỹ thuật OSINT cơ bản. Pentester dùng nó để truy vấn các bản ghi DNS (như MX để tìm máy chủ mail, TXT để tìm các dịch vụ xác thực, A để tìm IP máy chủ) nhằm lập bản đồ hạ tầng của mục tiêu.","Một thao tác tra cứu DNS (DNS lookup) đơn giản vào bản ghi MX (Mail Exchange) đã tiết lộ rằng công ty đang sử dụng dịch vụ email của Google (G Suite)."
"575","Nmap Scripting Engine (NSE)","Nmap Scripting Engine (NSE)","module script mạnh của Nmap để tự động hóa quét lỗ hổng, khai thác dịch vụ","3","Là "vũ khí" nâng cao của Nmap. Sau khi quét cổng và dịch vụ, pentester dùng NSE để chạy các script tự động: kiểm tra lỗ hổng cụ thể (ví dụ: smb-vuln-ms17-010), hoặc thậm chí thử đăng nhập bằng tài khoản mặc định.","Thay vì chỉ quét cổng, pentester đã sử dụng Nmap Scripting Engine (NSE) với script http-vuln-cve2017-5638 để kiểm tra xem máy chủ có bị dính lỗ hổng Struts2 hay không."
"576","nslookup command","lệnh nslookup","công cụ dòng lệnh để truy vấn DNS và phân giải tên miền","3","Là công cụ DNS query cơ bản (có sẵn trên Windows) mà pentester dùng để nhanh chóng phân giải tên miền (ví dụ: google.com) ra địa chỉ IP (A record) hoặc tìm máy chủ mail (MX record).","Tôi dùng lệnh nslookup google.com để xem các địa chỉ IP (bản ghi A) tương ứng với tên miền đó."
"577","host command","lệnh host","công cụ dòng lệnh trong Linux/Unix để tra cứu và phân tích bản ghi DNS","3","Là công cụ DNS query (tương tự nslookup, nhưng phổ biến hơn trên Linux) mà pentester dùng để tra cứu nhanh các bản ghi DNS (A, MX, TXT) của một tên miền.","Trên Linux, pentester đã sử dụng lệnh host -t mx example.com để nhanh chóng tìm ra máy chủ email (MX record) của công ty mục tiêu."
"578","Shodan","Shodan","công cụ tìm kiếm thiết bị kết nối Internet như IoT, server, camera… để thu thập thông tin dịch vụ và lỗ hổng","3","Là "Google dành cho hacker". Đây là một công cụ OSINT (trinh sát thụ động) thiết yếu, cho phép pentester tìm kiếm các thiết bị (máy chủ, camera, RDP) và dịch vụ đang "mở" ra Internet mà không cần phải quét (scan) trực tiếp mục tiêu.","Bằng cách sử dụng Shodan với bộ lọc port:"3389", chuyên gia bảo mật đã tìm thấy hàng ngàn máy chủ Windows có cổng Remote Desktop đang mở ra Internet."
