"id","english","vietnamese","note","module","boi_canh","vi_du"
"1338","JSON (JavaScript Object Notation)","JSON","Một định dạng (format) trao đổi dữ liệu văn bản (text) gọn nhẹ, dễ đọc (cho người) và dễ phân tích (cho máy), rất phổ biến trong các API RESTful","IOT","","Khi gọi API thời tiết, máy chủ đã trả về (response) một chuỗi JSON chứa thông tin: {"thanh_pho": "Hà Nội", "nhiet_do": 30}."
"1339","XML (Extensible Markup Language)","XML (Ngôn ngữ đánh dấu mở rộng)","Một định dạng (format) trao đổi dữ liệu sử dụng các thẻ (tags) (tương tự HTML) để định nghĩa cấu trúc dữ liệu, phổ biến trong các hệ thống cũ và SOAP API","IOT","","Các API SOAP và các tệp cấu hình (config files) cũ thường sử dụng XML, ví dụ: <thanh_pho>Hà Nội</thanh_pho><nhiet_do>30</nhiet_do>."
"1340","Protocol Buffers (Protobuf)","Protocol Buffers (Protobuf)","Một phương pháp (method) của Google dùng để tuần tự hóa (serializing) dữ liệu có cấu trúc, nó nhanh, nhỏ gọn và hiệu quả hơn JSON/XML vì nó là định dạng nhị phân (binary)","IOT","","Các microservices sử dụng gRPC giao tiếp với nhau bằng Protocol Buffers (Protobuf) vì nó giúp giảm đáng kể độ trễ (latency) mạng so với việc gửi JSON."
"1341","Avro","Avro","Một hệ thống tuần tự hóa (serializing) dữ liệu (tương tự Protobuf) được phát triển cho Hadoop, nó lưu trữ "lược đồ" (schema) (thường ở dạng JSON) cùng với dữ liệu","IOT","","Dữ liệu được lưu trữ trong hệ thống Kafka thường dùng định dạng Avro vì nó hỗ trợ "tiến hóa lược đồ" (schema evolution), cho phép thay đổi cấu trúc dữ liệu mà không làm hỏng các ứng dụng cũ."
"1342","SDK (Software Development Kit)","Bộ công cụ phát triển phần mềm (SDK)","Một tập hợp các thư viện (libraries), tài liệu (documentation) và công cụ (tools) mà nhà cung cấp (vendor) đưa cho lập trình viên để xây dựng ứng dụng trên nền tảng của họ","IOT","","Facebook cung cấp một Bộ công cụ phát triển phần mềm (SDK) cho phép lập trình viên dễ dàng tích hợp tính năng "Đăng nhập bằng Facebook" vào ứng dụng di động của họ."
"1343","Library","Thư viện (Library)","Một tập hợp các mã (code) và hàm (functions) đã được viết sẵn mà lập trình viên có thể "gọi" (call) để thực hiện một tác vụ cụ thể, giúp tái sử dụng mã","IOT","","Thay vì tự viết mã (code) để xử lý ngày tháng, lập trình viên chỉ cần "nhập" (import) Thư viện (Library) moment.js và gọi các hàm (functions) của nó."
"1344","Framework","Framework (Khung làm việc)","Một bộ "xương sống" (skeleton) hoặc cấu trúc (structure) đã được định sẵn cho ứng dụng; Framework gọi mã (code) của bạn, ngược lại với Library (bạn gọi library)","IOT","","Khi sử dụng Framework web (như React hoặc Angular), bạn phải viết mã (code) theo cấu trúc và quy tắc mà framework đó đặt ra (Inversion of Control)."
"1345","Concurrency","Đồng thời (Concurrency)","Khả năng của một hệ thống xử lý (handling) nhiều tác vụ (tasks) dường như cùng một lúc (out-of-order), bằng cách chuyển đổi (switching) qua lại giữa chúng","IOT","","Một máy chủ web (web server) sử dụng tính năng Đồng thời (Concurrency) để xử lý 1000 yêu cầu (requests) của người dùng; nó không làm xong cái này mới đến cái kia, mà nó xử lý (handle) tất cả chúng cùng một lúc."
"1346","Parallelism","Song song (Parallelism)","Khả năng của một hệ thống thực thi (executing) nhiều tác vụ (tasks) thực sự cùng một thời điểm (at the same exact time), thường yêu cầu nhiều lõi (cores) CPU","IOT","","CPU 8 lõi (8-core) có thể đạt được tính Song song (Parallelism) bằng cách chạy 8 phép tính toán học khác nhau trên 8 lõi riêng biệt tại cùng một thời điểm."
"1347","Asynchronous","Bất đồng bộ (Asynchronous)","Một mô hình lập trình (programming model) cho phép một tác vụ (task) bắt đầu mà không cần chờ tác vụ trước đó hoàn thành (non-blocking)","IOT","","Thay vì "đứng chờ" (blocking) 5 giây để tải tệp (file) về, mã (code) Bất đồng bộ (Asynchronous) (ví dụ: dùng await trong JavaScript) sẽ gửi yêu cầu tải, sau đó đi làm việc khác, và sẽ quay lại xử lý (callback) khi tệp tải xong."
"1348","Synchronous","Đồng bộ (Synchronous)","Mô hình lập trình (programming model) truyền thống, trong đó các tác vụ (tasks) được thực thi (execute) tuần tự (sequentially), tác vụ sau phải chờ (blocking) tác vụ trước hoàn thành","IOT","","Đoạn mã (code) Đồng bộ (Synchronous) đã bị "treo" (freeze) toàn bộ ứng dụng trong 5 giây vì nó phải chờ (wait) cho đến khi việc truy vấn cơ sở dữ liệu (database query) hoàn thành."
"1349","Multithreading","Đa luồng (Multithreading)","Một kỹ thuật lập trình (programming technique) cho phép một tiến trình (process) duy nhất tạo ra nhiều "luồng" (threads) thực thi, chạy đồng thời (concurrently) để chia sẻ công việc","IOT","","Ứng dụng chỉnh sửa video sử dụng Đa luồng (Multithreading); một luồng (thread) xử lý âm thanh (audio), trong khi một luồng khác xử lý hình ảnh (video) trên cùng một CPU."
"1350","Database","Cơ sở dữ liệu (Database)","Một tập hợp (collection) dữ liệu có tổ chức (organized), được lưu trữ (stored) và truy cập (accessed) bằng điện tử từ một hệ thống máy tính","IOT","","Mọi thông tin người dùng, sản phẩm và đơn hàng của một trang web thương mại điện tử đều được lưu trữ trong một Cơ sở dữ liệu (Database) (như MySQL hoặc PostgreSQL)."
"1351","Relational Database (SQL)","Cơ sở dữ liệu quan hệ (SQL)","Loại CSDL lưu trữ dữ liệu trong các bảng (tables) có cấu trúc (schema) định trước, dùng ngôn ngữ SQL để truy vấn; ví dụ: MySQL, PostgreSQL","IOT","","Thông tin người dùng và đơn hàng của một trang web thương mại điện tử được lưu trong Cơ sở dữ liệu quan hệ (SQL) để đảm bảo tính nhất quán (consistency) giữa các bảng."
"1352","NoSQL Database","Cơ sở dữ liệu NoSQL (Không chỉ SQL)","Loại CSDL được thiết kế cho dữ liệu phi cấu trúc (unstructured) hoặc bán cấu trúc (semi-structured), linh hoạt về schema, dễ mở rộng (scalable) theo chiều ngang; ví dụ: MongoDB, Redis","IOT","","Một mạng xã hội sử dụng Cơ sở dữ liệu NoSQL (NoSQL Database) để lưu trữ hàng tỷ bài đăng (posts) và bình luận (comments) vì nó cho phép mở rộng quy mô (scale) dễ dàng."
"1353","Time Series Database (TSDB)","Cơ sở dữ liệu chuỗi thời gian (TSDB)","Loại CSDL được tối ưu hóa đặc biệt để lưu trữ và truy vấn dữ liệu được đánh dấu thời gian (timestamped), như dữ liệu cảm biến, giá cổ phiếu","IOT","","Hệ thống giám sát nhà máy sử dụng Cơ sở dữ liệu chuỗi thời gian (TSDB) để lưu trữ chỉ số nhiệt độ (temperature) được gửi về từ hàng nghìn cảm biến mỗi giây."
"1354","InfluxDB","InfluxDB","Một CSDL chuỗi thời gian (TSDB) mã nguồn mở, hiệu suất cao, rất phổ biến trong giám sát DevOps và IoT","IOT","","Chúng tôi sử dụng InfluxDB để lưu trữ tất cả các chỉ số (metrics) về CPU, RAM, và mạng (network) của các máy chủ (servers) theo thời gian thực."
"1355","Prometheus","Prometheus","Một hệ thống giám sát (monitoring) và cảnh báo (alerting) mã nguồn mở, tích hợp sẵn một CSDL chuỗi thời gian (TSDB) mạnh mẽ, rất phổ biến trong hệ sinh thái Kubernetes","IOT","","Prometheus được cấu hình để "cào" (scrape) các chỉ số (metrics) từ tất cả các container (containers) đang chạy trong cụm (cluster) Kubernetes mỗi 15 giây."
"1356","Graph Database","Cơ sở dữ liệu đồ thị","Loại CSDL NoSQL sử dụng các nút (nodes) và cạnh (edges) để lưu trữ và truy vấn các mối quan hệ (relationships) phức tạp; ví dụ: Neo4j","IOT","","LinkedIn sử dụng Cơ sở dữ liệu đồ thị (Graph Database) để lưu trữ mạng lưới "Bạn của bạn" (friend-of-a-friend) và đề xuất các kết nối (connections) mới một cách nhanh chóng."
"1357","Key-Value Store","Kho lưu trữ Khóa-Giá trị","Loại CSDL NoSQL đơn giản nhất, lưu trữ dữ liệu dưới dạng các cặp (pair) "Khóa" (Key) (chuỗi duy nhất) và "Giá trị" (Value) (dữ liệu); ví dụ: Redis","IOT","","Ứng dụng web sử dụng Redis (một Kho lưu trữ Khóa-Giá trị) để lưu trữ (cache) các phiên (sessions) đăng nhập của người dùng, giúp truy cập nhanh hơn nhiều so với CSDL quan hệ (SQL)."
"1358","Document Database","Cơ sở dữ liệu tài liệu","Loại CSDL NoSQL lưu trữ dữ liệu dưới dạng các "tài liệu" (documents) linh hoạt (như JSON hoặc BSON), không cần schema cố định; ví dụ: MongoDB","IOT","","Một blog sử dụng Cơ sở dữ liệu tài liệu (Document Database) (như MongoDB) để lưu trữ các bài đăng; mỗi bài đăng là một "tài liệu" (document) JSON chứa tiêu đề, nội dung, và mảng (array) các bình luận."
"1359","Data Schema","Lược đồ dữ liệu","Bản thiết kế (blueprint) hoặc cấu trúc (structure) của một cơ sở dữ liệu, định nghĩa các bảng (tables), cột (columns), và các kiểu dữ liệu (data types) của chúng","IOT","","Trong CSDL quan hệ (SQL), Lược đồ dữ liệu (Data Schema) quy định rằng cột "Email" phải là duy nhất (UNIQUE) và không được rỗng (NOT NULL)."
"1360","Data Model","Mô hình dữ liệu","Một biểu diễn trừu tượng (abstract representation) cấp cao hơn (higher-level) so với "schema", mô tả các thực thể (entities), thuộc tính (attributes) và mối quan hệ (relationships) giữa chúng trong thế giới thực","IOT","","Trước khi thiết kế "schema", nhóm phát triển đã tạo một Mô hình dữ liệu (Data Model) ERD (Sơ đồ Quan hệ Thực thể) để xác định rằng "Khách hàng" (Customer) có thể có nhiều "Đơn hàng" (Orders)."
"1361","Authentication","Xác thực (hoặc Đăng nhập)","Quá trình xác minh (verifying) danh tính (identity) của người dùng; trả lời câu hỏi "Bạn là ai?"","IOT","","(Trái ngược với Authorization: "Bạn được làm gì?")."
"1362","Authorization","Ủy quyền (hoặc Phân quyền)","Quá trình xác định (determining) các quyền (permissions) truy cập hoặc hành động (actions) mà một người dùng đã được xác thực (authenticated) được phép làm; trả lời câu hỏi "Bạn được làm gì?"","IOT","","Sau khi Xác thực (Authentication) thành công, quá trình Ủy quyền (Authorization) kiểm tra và xác định rằng bạn là 'admin' (quản trị viên), vì vậy bạn được phép xóa (delete) người dùng khác."
"1363","OAuth (Open Authorization)","OAuth (Ủy quyền mở)","Một tiêu chuẩn (standard) cho "Authorization" (Ủy quyền), cho phép một ứng dụng (ví dụ: một trang web thứ ba) thực hiện hành động (ví dụ: đăng bài) thay mặt (on behalf of) bạn trên một ứng dụng khác (ví dụ: Facebook) mà không cần biết mật khẩu của bạn","IOT","","Khi một ứng dụng yêu cầu quyền "Đăng bài lên Facebook của bạn", nó đang sử dụng OAuth; bạn chỉ đồng ý (consent) chứ không bao giờ đưa mật khẩu Facebook của mình cho ứng dụng đó."
"1364","OAuth 2.0","OAuth 2.0","Phiên bản hiện tại và phổ biến nhất của tiêu chuẩn OAuth, được sử dụng rộng rãi bởi Google, Facebook, Twitter để cấp "access token" (thẻ truy cập) cho các ứng dụng bên thứ ba","IOT","","Hầu hết các nút "Đăng nhập bằng Google" (Login with Google) mà bạn thấy trên web đều đang sử dụng tiêu chuẩn OAuth 2.0."
"1365","OpenID Connect (OIDC)","OpenID Connect (OIDC)","Một lớp (layer) nhận dạng (identity) đơn giản được xây dựng trên nền (on top of) OAuth 2.0; nó xử lý việc Authentication (Xác thực - "Bạn là ai?"), trong khi OAuth 2.0 chỉ xử lý Authorization (Ủy quyền - "Bạn được làm gì?")","IOT","","Khi bạn dùng "Đăng nhập bằng Google" (OAuth 2.0) và ứng dụng đó nhận lại được tên và email của bạn, thì chính là nhờ OpenID Connect (OIDC) đã cung cấp thông tin nhận dạng (identity) đó."
"1366","JWT (JSON Web Token)","JWT (Token Web JSON)","Một tiêu chuẩn (standard) mã nguồn mở (RFC 7519) để tạo ra các "token" (thẻ bài) tự chứa (self-contained) và có chữ ký (signed), dùng để trao đổi thông tin (claims) một cách an toàn giữa các bên, rất phổ biến trong "Authentication" và "Authorization" API","IOT","","Sau khi người dùng đăng nhập, máy chủ (server) cấp cho họ một JWT; người dùng sau đó gửi JWT này trong "header" (tiêu đề) của mỗi yêu cầu (request) API để chứng minh họ đã được xác thực."
"1367","SAML (Security Assertion Markup Language)","SAML","Một tiêu chuẩn (standard) dựa trên XML, thường được sử dụng trong môi trường doanh nghiệp (enterprise) để bật tính năng "Single Sign-On" (SSO) giữa các hệ thống khác nhau (ví dụ: giữa hệ thống nội bộ và Salesforce)","IOT","","Khi nhân viên đăng nhập vào cổng thông tin (portal) nội bộ của công ty, họ có thể truy cập vào Salesforce (ứng dụng bên thứ ba) mà không cần đăng nhập lại, đó là nhờ SAML."
"1368","Single Sign-On (SSO)","Đăng nhập một lần (SSO)","Một cơ chế (mechanism) "Authentication" (Xác thực) cho phép người dùng đăng nhập một lần (single sign-on) vào một hệ thống (Identity Provider) và sau đó được tự động cấp quyền truy cập vào nhiều ứng dụng (Service Providers) khác mà không cần nhập lại mật khẩu","IOT","","Nhân viên chỉ cần đăng nhập vào tài khoản Windows (Active Directory) của họ một lần vào buổi sáng, và sau đó họ có thể truy cập Email, Cổng thông tin (Portal) và Hệ thống HR mà không cần đăng nhập lại, đó là nhờ SSO."
"1369","DevOps","DevOps","Một triết lý (philosophy) và văn hóa (culture) làm việc kết hợp (collaboration) giữa nhóm Phát triển (Development - Dev) và nhóm Vận hành (Operations - Ops), nhằm tự động hóa (automation) và rút ngắn (shorten) vòng đời phát triển phần mềm (SDLC)","IOT","","Nhờ áp dụng DevOps, đội phát triển (Dev) có thể tự động triển khai (deploy) mã (code) mới lên sản phẩm (Ops) nhiều lần trong ngày thông qua một đường ống (pipeline) CI/CD, thay vì vài tháng một lần như trước."
"1370","DevSecOps","DevSecOps","Một sự mở rộng của DevOps, lồng ghép (integrating) bảo mật (Security - Sec) vào mọi giai đoạn của vòng đời DevOps (CI/CD), thay vì chỉ kiểm tra bảo mật ở cuối quy trình","IOT","","Trong quy trình DevSecOps, đường ống (pipeline) CI/CD sẽ tự động chạy quét (scan) lỗ hổng mã nguồn (SAST) và quét (scan) thư viện (library) (SCA) trước khi cho phép triển khai (deploy) ứng dụng."
"1371","CI/CD (Continuous Integration / Continuous Deployment)","Tích hợp liên tục / Triển khai liên tục (CI/CD)","Trụ cột (backbone) của DevOps; CI là việc tự động hợp nhất (merge) và kiểm thử (test) mã (code) của lập trình viên nhiều lần trong ngày; CD là việc tự động triển khai (deploy) mã (code) đã vượt qua kiểm thử lên môi trường (ví dụ: sản phẩm)","IOT","","Ngay khi lập trình viên "push" (đẩy) mã (code) lên GitHub (CI), hệ thống CI/CD (như Jenkins) sẽ tự động xây dựng (build), kiểm thử (test), và triển khai (CD) phiên bản mới đó lên máy chủ."
"1372","Containerization","Container hóa (hoặc Đóng gói)","Một phương pháp ảo hóa (virtualization) cấp hệ điều hành (OS-level), cho phép "đóng gói" (package) một ứng dụng và các thư viện (dependencies) của nó vào một "container" (thùng chứa) nhẹ, chạy độc lập và nhất quán trên mọi môi trường","IOT","","Nhờ Containerization (dùng Docker), ứng dụng của lập trình viên chạy trên máy của họ (Windows) giống hệt (identically) như khi nó chạy trên máy chủ sản phẩm (Linux)."
"1373","Docker","Docker","Nền tảng (platform) mã nguồn mở phổ biến nhất để "Containerization" (Container hóa); nó cho phép xây dựng (build), vận chuyển (ship), và chạy (run) các ứng dụng một cách dễ dàng bằng cách sử dụng các "container"","IOT","","Thay vì cài đặt (install) thủ công MySQL và PHP, lập trình viên chỉ cần chạy hai "image" (ảnh) Docker chính thức và khởi động chúng trong vài giây."
"1374","Kubernetes (K8s)","Kubernetes (K8s)","Một nền tảng (platform) mã nguồn mở (ban đầu của Google) dùng để "điều phối" (orchestration) các container (như Docker) ở quy mô lớn; nó tự động hóa việc triển khai (deployment), mở rộng (scaling), và quản lý (management) các ứng dụng container hóa","IOT","","Công ty chạy 1.000 container Docker; họ sử dụng Kubernetes (K8s) để tự động hóa: nếu một container (container) bị "chết" (crash), K8s sẽ tự động khởi động một cái mới thay thế."
"1375","Orchestration","Điều phối","Quá trình quản lý (managing) và tự động hóa (automating) phức tạp nhiều hệ thống hoặc dịch vụ (services) khác nhau; trong DevOps, nó thường dùng để chỉ việc "Điều phối Container" (Container Orchestration) bằng Kubernetes","IOT","","Điều phối (Orchestration) không chỉ là chạy container (như Docker), mà là quản lý toàn bộ vòng đời của chúng: Mở rộng (scale) lên 10 container khi có nhiều traffic, và giảm (scale) xuống 2 khi vắng khách."
"1376","Firmware Over-the-Air (FOTA)","Cập nhật Vi chương trình qua mạng (FOTA)","Quá trình (process) cập nhật (update) "firmware" (phần sụn - lớp phần mềm cấp thấp điều khiển phần cứng) của một thiết bị từ xa qua mạng không dây (Wi-Fi, 4G)","IOT","","Hãng xe Tesla đã thực hiện một bản Cập nhật Vi chương trình qua mạng (FOTA) cho xe của họ, cải thiện hiệu suất phanh (brake performance) mà chủ xe không cần mang xe đến gara."
"1377","Software Over-the-Air (SOTA)","Cập nhật Phần mềm qua mạng (SOTA)","Quá trình (process) cập nhật (update) các ứng dụng (applications) hoặc hệ điều hành (OS) cấp cao hơn (higher-level) của một thiết bị từ xa qua mạng không dây","IOT","","(Phân biệt với FOTA: FOTA cập nhật phần cứng, SOTA cập nhật phần mềm ứng dụng)."
"1378","Software-Defined Networking (SDN)","Mạng định nghĩa bằng phần mềm (SDN)","Một kiến trúc (architecture) mạng tách (decoupling) lớp "Điều khiển" (Control Plane - bộ não) ra khỏi lớp "Chuyển tiếp" (Data Plane - phần cứng), cho phép quản lý và cấu hình (configure) toàn bộ mạng bằng phần mềm (software) một cách tập trung","IOT","","Với Mạng định nghĩa bằng phần mềm (SDN), quản trị viên (admin) có thể cấu hình (configure) 1.000 công tắc (switches) từ một bảng điều khiển (dashboard) duy nhất, thay vì phải đăng nhập (SSH) thủ công vào từng thiết bị."
"1379","Network Function Virtualization (NFV)","Ảo hóa chức năng mạng (NFV)","Một kiến trúc (architecture) mạng sử dụng công nghệ ảo hóa (virtualization) (như VM, container) để chạy các "chức năng mạng" (network functions) (như Tường lửa (Firewall), Bộ cân bằng tải (Load Balancer)) trên các phần cứng (hardware) máy chủ tiêu chuẩn (commodity servers), thay vì mua các thiết bị phần cứng (appliances) chuyên dụng đắt tiền","IOT","","Thay vì mua một thiết bị Tường lửa (Firewall) vật lý (hardware appliance) giá 1 tỷ VNĐ, nhà mạng (telco) đã sử dụng Ảo hóa chức năng mạng (NFV) để chạy 10 "Tường lửa ảo" (virtual firewalls) trên một máy chủ (server) Dell thông thường."
"1380","Virtual Machine (VM)","Máy ảo (VM)","Một phiên bản (instance) "giả lập" (emulated) hoàn chỉnh của một hệ thống máy tính (bao gồm CPU, RAM, Ổ cứng, OS), chạy trên một máy tính vật lý (host) thông qua một "Hypervisor" (trình ảo hóa)","IOT","","Lập trình viên chạy một Máy ảo (VM) Ubuntu Linux bên trong máy tính Windows 11 của mình bằng phần mềm VirtualBox."
"1381","Hypervisor","Trình ảo hóa (Hypervisor)","Phần mềm (software) hoặc firmware (phần sụn) tạo (creates) và chạy (runs) các máy ảo (VMs); nó là lớp (layer) nằm giữa phần cứng (hardware) và máy ảo (VM)","IOT","","(Có 2 loại: Type 1 (như VMware ESXi) chạy trực tiếp trên phần cứng, Type 2 (như VirtualBox) chạy trên một OS khác)."
"1382","High Availability (HA)","Tính sẵn sàng cao (HA)","Khả năng (ability) của một hệ thống (system) tự động (automatically) chuyển sang (failover) một thành phần (component) dự phòng (redundant) khi thành phần chính (primary) bị lỗi (failure), nhằm giảm thiểu (minimize) thời gian chết (downtime)","IOT","","Hệ thống cơ sở dữ liệu (database) được thiết lập với Tính sẵn sàng cao (HA); nếu máy chủ (server) chính bị hỏng, máy chủ (server) dự phòng (standby) sẽ tự động tiếp quản (take over) trong vòng 30 giây."
"1383","Load Balancing","Cân bằng tải","Quá trình (process) phân phối (distributing) lưu lượng (traffic) mạng hoặc các yêu cầu (requests) của người dùng đến nhiều máy chủ (servers) khác nhau trong một cụm (cluster), nhằm đảm bảo không máy chủ (server) nào bị quá tải (overloaded) và cải thiện hiệu suất","IOT","","Một Bộ cân bằng tải (Load Balancer) được đặt trước 3 máy chủ web (web servers); khi có người dùng truy cập, nó sẽ gửi người dùng 1 đến máy chủ A, người dùng 2 đến máy chủ B, và người dùng 3 đến máy chủ C."
"1384","Scalability","Khả năng mở rộng","Khả năng (ability) của một hệ thống (system) tăng (increase) hiệu suất (performance) hoặc công suất (capacity) để xử lý (handle) một khối lượng công việc (workload) lớn hơn","IOT","","(Thường có 2 loại: Mở rộng ngang (Horizontal - thêm máy) và Mở rộng dọc (Vertical - tăng CPU/RAM))."
"1385","Elasticity","Tính co giãn (hoặc Tính đàn hồi)","Khái niệm (concept) của điện toán đám mây (cloud computing) về khả năng tự động (automatically) thêm (scale out) tài nguyên (resources) khi cần (khi bận) và tự động loại bỏ (scale in) tài nguyên khi không cần (khi rảnh), giúp tối ưu chi phí","IOT","","Nhờ Tính co giãn (Elasticity) của AWS Auto Scaling, hệ thống (system) tự động chạy 10 máy chủ (servers) vào ban ngày (giờ cao điểm) nhưng tự động giảm (scale in) xuống chỉ còn 2 máy chủ (servers) vào ban đêm (giờ thấp điểm) để tiết kiệm tiền."
"1386","Resilience","Khả năng phục hồi (hoặc Tính kiên cường)","Khả năng (ability) của một hệ thống (system) tiếp tục hoạt động (continue functioning) ngay cả khi (even when) một số thành phần (components) của nó bị lỗi (failure); nó "chấp nhận" lỗi nhưng không "sụp đổ" (crash)","IOT","","Hệ thống (system) được thiết kế với Khả năng phục hồi (Resilience); ngay cả khi một trong ba máy chủ (servers) trong cụm (cluster) bị hỏng, hai máy chủ (servers) còn lại vẫn tiếp tục xử lý (handle) yêu cầu (requests) của người dùng, mặc dù có thể chậm hơn một chút."
"1387","Fault Tolerance","Khả năng chịu lỗi","Một mức độ (degree) cao hơn của "Resilience"; khả năng (ability) của một hệ thống (system) tiếp tục hoạt động (continue operating) mà không bị gián đoạn (without interruption) (zero downtime) khi một thành phần (component) bị lỗi (failure), thường dựa vào dự phòng (redundancy) kép (full redundancy)","IOT","","Hệ thống (system) máy bay (airplane) có Khả năng chịu lỗi (Fault Tolerance) cực cao; nếu động cơ (engine) chính bị hỏng, động cơ (engine) dự phòng (redundant) sẽ tiếp quản (take over) ngay lập tức (instantaneously) mà hành khách không hề hay biết."
"1388","Caching","Lưu trữ đệm (Caching)","Kỹ thuật (technique) lưu trữ (storing) bản sao (copies) của dữ liệu (data) hoặc tệp tin (files) (được truy cập thường xuyên) vào một nơi (cache) truy cập nhanh (fast-access layer) (như RAM), nhằm giảm (reduce) thời gian (time) tải (load) và giảm (reduce) tải (load) cho máy chủ (server) gốc","IOT","","Ứng dụng (application) đã sử dụng kỹ thuật Lưu trữ đệm (Caching) bằng cách lưu (store) kết quả (results) truy vấn (query) cơ sở dữ liệu (database) vào Redis (RAM); lần truy cập (access) tiếp theo sẽ lấy (fetch) dữ liệu từ Redis (cache) trong 1ms thay vì phải truy vấn (query) CSDL (database) mất 100ms."
"1389","Content Delivery Network (CDN)","Mạng phân phối nội dung (CDN)","Một mạng lưới (network) các máy chủ (servers) proxy (proxy servers) được đặt (deployed) tại nhiều vị trí (locations) địa lý (geographically) trên toàn thế giới, dùng để "lưu trữ đệm" (cache) các nội dung "tĩnh" (static content) (như hình ảnh, video) gần (closer) với người dùng cuối (end-users)","IOT","","Một trang web (website) ở Mỹ (USA) đã sử dụng Mạng phân phối nội dung (CDN) (như Cloudflare); khi người dùng ở Việt Nam (Vietnam) truy cập, họ sẽ tải (download) hình ảnh (images) từ một máy chủ (server) CDN đặt tại Singapore, thay vì phải tải (download) từ máy chủ (server) gốc ở Mỹ (USA), giúp trang web (website) tải (load) nhanh hơn."
"1390","Supply Chain Management (SCM)","Quản lý chuỗi cung ứng (SCM)","Quá trình (process) lập kế hoạch (planning), thực thi (executing), và kiểm soát (controlling) mọi hoạt động (activities) liên quan đến dòng (flow) chảy của hàng hóa (goods), dịch vụ (services), và thông tin (information) từ nhà cung cấp (supplier) đến khách hàng (customer)","IOT","","Công ty đã cải thiện hệ thống Quản lý chuỗi cung ứng (SCM) của mình, giúp giảm (reduce) thời gian (time) từ lúc đặt (order) nguyên vật liệu (raw materials) đến lúc giao (deliver) thành phẩm (finished product) cho khách hàng từ 30 ngày xuống còn 10 ngày."
"1391","Logistics","Logistics (hoặc Hậu cần)","Một phần (part) của "Quản lý chuỗi cung ứng" (SCM), tập trung vào việc (focuses on) thực thi (executing) việc di chuyển (movement) và lưu trữ (storage) hàng hóa (goods) một cách hiệu quả (efficiently) từ điểm (point) A đến điểm (point) B","IOT","","Bộ phận Logistics (Hậu cần) chịu trách nhiệm (responsible for) quản lý (managing) kho bãi (warehousing), đóng gói (packaging), và vận chuyển (transportation) để đảm bảo (ensure) đơn hàng (order) đến tay khách hàng đúng hẹn (on time)."
"1392","Telematics","Viễn thông tin học (Telematics)","Sự kết hợp (combination) của "Viễn thông" (Telecommunications) (ví dụ: GPS, 4G/5G) và "Tin học" (Informatics) (ví dụ: cảm biến) để truyền (transmit) dữ liệu (data) từ các phương tiện (vehicles) di động (mobile assets) về một máy chủ (server) trung tâm","IOT","","Hệ thống Viễn thông tin học (Telematics) được lắp (installed) trên xe tải (truck) gửi (sends) dữ liệu (data) về vị trí (location) GPS, tốc độ (speed), và mức tiêu thụ (consumption) nhiên liệu (fuel) về (back to) văn phòng (office) mỗi 30 giây."
"1393","Fleet Management","Quản lý đội xe","Quá trình (process) sử dụng "Viễn thông tin học" (Telematics) để giám sát (monitor), quản lý (manage), và tối ưu hóa (optimize) hoạt động (operations) của một đội (fleet) phương tiện (vehicles) (như xe tải, xe buýt, xe công ty)","IOT","","Phần mềm (software) Quản lý đội xe (Fleet Management) giúp công ty (company) theo dõi (track) vị trí (location) của 100 xe tải (trucks), lên kế hoạch (plan) tuyến đường (routes) hiệu quả (efficiently) nhất, và giám sát (monitor) hành vi (behavior) lái xe (driving) của tài xế (drivers)."
"1Stop","Asset Tracking","Theo dõi tài sản","Quá trình (process) giám sát (monitoring) vị trí (location) và tình trạng (status) của các tài sản (assets) vật lý (physical) (ví dụ: container, máy móc, hàng hóa có giá trị) bằng cách sử dụng công nghệ (technology) (như GPS, RFID, Bluetooth)","IOT","","Công ty (company) vận chuyển (shipping) đã sử dụng (used) hệ thống Theo dõi tài sản (Asset Tracking) (dùng thẻ (tags) GPS) để biết (know) chính xác (exactly) vị trí (location) của các container (containers) hàng hóa (cargo) của họ ở bất kỳ (anywhere) đâu (where) trên thế giới (world)."
"1395","Inventory Management","Quản lý hàng tồn kho","Quy trình giám sát, kiểm soát việc đặt hàng, lưu trữ và sử dụng hàng tồn kho (nguyên vật liệu, thành phẩm)","IOT","","Hệ thống Quản lý hàng tồn kho (Inventory Management) tốt giúp siêu thị biết chính xác khi nào cần đặt thêm sữa trước khi bị hết hàng."
"1396","Warehouse Management System (WMS)","Hệ thống quản lý kho (WMS)","Phần mềm chuyên dụng để tối ưu hóa mọi hoạt động trong kho, từ nhận hàng, cất giữ (put-away) đến lấy hàng (picking) và đóng gói","IOT","","Hệ thống quản lý kho (WMS) của Amazon chỉ đường cho robot đến vị trí kệ (bin) chính xác để lấy đúng sản phẩm cho đơn hàng."
"1397","Transportation Management System (TMS)","Hệ thống quản lý vận tải (TMS)","Phần mềm giúp lập kế hoạch, thực thi và tối ưu hóa việc di chuyển hàng hóa, bao gồm chọn nhà vận tải, tối ưu tuyến đường và theo dõi lô hàng","IOT","","Công ty logistics sử dụng Hệ thống quản lý vận tải (TMS) để tự động chọn nhà vận tải (carrier) rẻ nhất và nhanh nhất cho mỗi lô hàng."
